NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
267,서울특별시 노원구 상계동,341-7,341,7,마블러스1,전세,25.53,202401,29,"10,000",0,9,2003,상계로 90,202402~202602,신규,-,,
268,서울특별시 노원구 상계동,734-3,734,3,노빌리안골드,전세,26.64,202401,28,"10,000",0,10,2004,노해로 452,202402~202602,신규,-,,
269,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202401,27,500,50,7,2004,동일로 1701,202401~202501,신규,-,,
270,서울특별시 노원구 월계동,379-17,379,17,모두스타빌,월세,15.68,202401,27,"1,000",52,3,2020,석계로18길 8,202403~202502,신규,-,,
271,서울특별시 노원구 상계동,706-2,706,2,노원역 보미더클래스 오피스텔,월세,29.26,202401,26,"5,000",80,19,2023,상계로 32,202402~202602,신규,-,,
272,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202401,26,"2,000",40,14,2004,동일로 1701,202402~202602,신규,-,,
273,서울특별시 노원구 공릉동,383-7,383,7,NS1077,월세,25.65,202401,26,"1,000",50,6,2004,동일로 1077,202403~202503,신규,-,,
274,서울특별시 노원구 공릉동,661-3,661,3,북부포커스빌,월세,37.1,202401,25,"1,000",60,6,2004,화랑로 449-8,202402~202502,신규,-,,
275,서울특별시 노원구 상계동,1267,1267,0,토마토파르코,전세,36.77,202401,25,"14,500",0,7,2005,동일로 1700,202403~202603,신규,-,,
276,서울특별시 노원구 중계동,506,506,0,-506,월세,69.03,202401,24,"3,000",130,10,2005,동일로203가길 29,202402~202602,신규,-,,
277,서울특별시 노원구 상계동,693-2,693,2,(693-2),월세,31.15,202401,24,"1,000",60,7,1993,상계로 55,202402~202602,신규,-,,
278,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202401,24,500,47,13,2004,동일로 1701,202402~202502,신규,-,,
279,서울특별시 노원구 상계동,706-2,706,2,노원역 보미더클래스 오피스텔,월세,18.96,202401,23,"5,000",43,5,2023,상계로 32,202402~202502,신규,-,,
280,서울특별시 노원구 상계동,1267,1267,0,토마토파르코,월세,36.77,202401,23,"1,000",65,7,2005,동일로 1700,202401~202407,신규,-,,
281,서울특별시 노원구 중계동,506,506,0,-506,전세,80.96,202401,22,"40,000",0,7,2005,동일로203가길 29,202402~202602,신규,-,,
282,서울특별시 노원구 상계동,1117-19,1117,19,수락윈디하이츠,전세,58.26,202401,22,"19,000",0,4,2012,동일로242가길 26-14,-,-,-,,
283,서울특별시 노원구 상계동,1131-12,1131,12,(1131-12),월세,18.81,202401,21,"3,000",20,4,2012,동일로246길 26,202402~202602,신규,-,,
284,서울특별시 노원구 중계동,509-1,509,1,씨앤미,월세,50.35,202401,20,"10,000",40,6,2004,동일로204가길 34,202403~202603,신규,-,,
285,서울특별시 노원구 공릉동,683-20,683,20,진주오피스텔,월세,44.4,202401,20,"2,000",95,7,2004,화랑로 425-3,202402~202602,신규,-,,
286,서울특별시 노원구 중계동,509-1,509,1,씨앤미,월세,34.67,202401,20,"1,000",70,4,2004,동일로204가길 34,202402~202502,신규,-,,
287,서울특별시 노원구 상계동,1267,1267,0,토마토파르코,월세,36.77,202401,19,"1,000",65,7,2005,동일로 1700,202401~202501,신규,-,,
288,서울특별시 노원구 하계동,256-13,256,13,삼정 이오니아,월세,26.91,202401,19,"2,500",53,6,2003,노원로 248,202403~202603,신규,-,,
289,서울특별시 노원구 상계동,706-2,706,2,노원역 보미더클래스 오피스텔,월세,18.96,202401,19,"1,000",75,19,2023,상계로 32,202401~202501,신규,-,,
290,서울특별시 노원구 공릉동,684-16,684,16,도균빌딩,월세,20.03,202401,18,"10,500",13,3,2016,섬밭로 2,202401~202601,갱신,-,"10,500",10
291,서울특별시 노원구 상계동,693-2,693,2,(693-2),월세,26.2,202401,18,500,60,9,1993,상계로 55,202402~202502,신규,-,,
292,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,27.78,202401,18,"1,000",50,15,2004,동일로 1701,202401~202501,신규,-,,
293,서울특별시 노원구 공릉동,383-12,383,12,건양오피스텔,월세,17.98,202401,18,"1,000",45,3,2012,동일로191가길 6,202402~202602,신규,-,,
