NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
100,서울특별시 노원구 공릉동,389-3,389,3,해피하우스,월세,22.1,202312,18,500,39,5,2011,동일로192나길 16-4,202402~202501,신규,-,,,연립다세대
101,서울특별시 노원구 상계동,1125,1125,0,수락사회주택,월세,30,202312,18,"11,762",30,4,2023,동일로242길 103,202402~202602,신규,-,,,연립다세대
102,서울특별시 노원구 상계동,1125,1125,0,수락사회주택,월세,30,202312,18,"11,762",30,6,2023,동일로242길 103,202402~202602,신규,-,,,연립다세대
103,서울특별시 노원구 상계동,1102-29,1102,29,루체,월세,36.4,202312,18,500,60,5,2012,동일로239길 36,-,-,-,,,연립다세대
104,서울특별시 노원구 상계동,389-307,389,307,덤보프라자나동,월세,54.24,202312,18,"20,000",10,2,2002,한글비석로31가길 9,202312~202412,갱신,-,"15,500",10,연립다세대
105,서울특별시 노원구 상계동,1402-4,1402,4,중앙빌라,전세,56.15,202312,18,"15,000",0,4,1996,덕릉로119가길 40-6,202312~202512,신규,-,,,연립다세대
106,서울특별시 노원구 월계동,402-29,402,29,청마하우스,월세,15.75,202312,18,"3,000",14,3,2014,광운로7길 8,-,-,-,,,연립다세대
107,서울특별시 노원구 월계동,411-3,411,3,제이타운,월세,13.05,202312,18,"1,000",49,3,2012,석계로13길 44,202401~202502,신규,-,,,연립다세대
108,서울특별시 노원구 월계동,473-1,473,1,(473-1),월세,17.94,202312,18,500,46,4,2011,광운로2가길 17-8,202402~202502,신규,-,,,연립다세대
109,서울특별시 노원구 월계동,473-1,473,1,(473-1),월세,14.19,202312,18,"1,000",45,2,2011,광운로2가길 17-8,202402~202502,신규,-,,,연립다세대
110,서울특별시 노원구 월계동,473-1,473,1,(473-1),전세,20.16,202312,18,"8,000",0,5,2011,광운로2가길 17-8,202402~202602,신규,-,,,연립다세대
111,서울특별시 노원구 월계동,400-1,400,1,MAIBAUM,월세,12.07,202312,18,"1,000",38,3,2011,광운로7길 10-7,202402~202502,신규,-,,,연립다세대
112,서울특별시 노원구 월계동,429-29,429,29,신건안고시텔,월세,49.98,202312,18,"1,000",39,5,2004,석계로13길 11-4,202402~202502,신규,-,,,연립다세대
113,서울특별시 노원구 월계동,429-29,429,29,신건안고시텔,월세,53.82,202312,18,"1,000",39,3,2004,석계로13길 11-4,202401~202502,신규,-,,,연립다세대
114,서울특별시 노원구 공릉동,366-25,366,25,온유홈,월세,29.95,202312,18,"2,000",75,4,2016,동일로196길 27-2,202401~202601,신규,-,,,연립다세대
115,서울특별시 노원구 공릉동,621-1,621,1,수정아트,월세,19.95,202312,18,"1,000",40,2,2011,동일로174길 9-60,202312~202412,신규,-,,,연립다세대
116,서울특별시 노원구 공릉동,559-26,559,26,파크빌(559-26),월세,12,202312,18,500,42,3,2011,동일로182길 63-19,202401~202501,갱신,-,500,40,연립다세대
117,서울특별시 노원구 공릉동,509-10,509,10,아이파크,월세,12.23,202312,17,"1,000",42,3,2013,동일로186길 60,202402~202502,신규,-,,,연립다세대
118,서울특별시 노원구 공릉동,503-11,503,11,위드빌,월세,16.5,202312,17,"1,000",50,2,2012,동일로186길 53-4,202402~202502,신규,-,,,연립다세대
119,서울특별시 노원구 공릉동,350-42,350,42,청마타운B동,월세,29.16,202312,17,"1,000",50,3,2014,공릉로27길 94,202402~202502,신규,-,,,연립다세대
120,서울특별시 노원구 공릉동,556-32,556,32,금봉하우스,월세,14.06,202312,16,500,40,2,2016,동일로184길 44,202312~202602,신규,-,,,연립다세대
121,서울특별시 노원구 월계동,400-1,400,1,MAIBAUM,월세,12.21,202312,16,500,39,3,2011,광운로7길 10-7,202402~202502,신규,-,,,연립다세대
122,서울특별시 노원구 월계동,473-1,473,1,(473-1),월세,21.95,202312,16,"1,000",47,4,2011,광운로2가길 17-8,202402~202502,신규,-,,,연립다세대
123,서울특별시 노원구 월계동,392-45,392,45,에이플러스빌,월세,8.68,202312,16,500,40,4,2016,광운로13길 23,202402~202502,신규,-,,,연립다세대
124,서울특별시 노원구 월계동,496-52,496,52,(496-52),월세,14.52,202312,16,"1,000",45,2,2012,광운로3길 15-4,202401~202501,신규,-,,,연립다세대
125,서울특별시 노원구 공릉동,441-47,441,47,해비치빌,월세,26.8,202312,16,"1,000",47,4,2015,공릉로43가길 16-7,202402~202502,신규,-,,,연립다세대
