NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
93,서울특별시 노원구 하계동,7*,12m미만,16.5,전세,202212,27,7500,0,2007.0,공릉로58마길,202302~202402,신규,-,,,단독다가구
94,서울특별시 노원구 하계동,7*,12m미만,23.14,전세,202212,27,8500,0,2007.0,공릉로58마길,202302~202402,신규,-,,,단독다가구
95,서울특별시 노원구 공릉동,4**,8m미만,18.0,전세,202212,26,11000,0,2016.0,공릉로43길,202302~202402,신규,-,,,단독다가구
97,서울특별시 노원구 상계동,1**,8m미만,23.0,전세,202212,26,5500,0,1993.0,한글비석로24사길,-,-,-,,,단독다가구
98,서울특별시 노원구 공릉동,4**,8m미만,28.0,전세,202212,26,11000,0,1999.0,공릉로39길,202301~202501,신규,-,,,단독다가구
99,서울특별시 노원구 공릉동,4**,8m미만,20.0,전세,202212,26,9000,0,2013.0,공릉로43길,202302~202402,신규,-,,,단독다가구
100,서울특별시 노원구 공릉동,5**,8m미만,15.0,전세,202212,26,8000,0,2017.0,동일로184길,202302~202502,신규,-,,,단독다가구
101,서울특별시 노원구 공릉동,3**,12m미만,13.4,전세,202212,26,6000,0,2018.0,동일로193길,-,-,-,,,단독다가구
102,서울특별시 노원구 공릉동,5**,8m미만,16.0,전세,202212,26,7300,0,2015.0,동일로184길,202302~202402,신규,-,,,단독다가구
103,서울특별시 노원구 공릉동,3**,12m미만,13.4,전세,202212,26,6000,0,2018.0,동일로193길,-,-,-,,,단독다가구
104,서울특별시 노원구 월계동,3**,8m미만,20.0,전세,202212,26,11000,0,2015.0,광운로19가길,202302~202402,신규,-,,,단독다가구
105,서울특별시 노원구 하계동,1**,12m미만,10.8,전세,202212,26,10000,0,2010.0,공릉로58길,202302~202402,신규,-,,,단독다가구
106,서울특별시 노원구 상계동,3**,8m미만,18.0,전세,202212,26,8300,0,2013.0,상계로13길,202212~202312,신규,-,,,단독다가구
107,서울특별시 노원구 하계동,7*,12m미만,23.14,전세,202212,26,8500,0,2007.0,공릉로58마길,202302~202402,신규,-,,,단독다가구
108,서울특별시 노원구 월계동,4**,8m미만,19.8,전세,202212,26,8300,0,2017.0,광운로7길,202302~202402,신규,-,,,단독다가구
109,서울특별시 노원구 공릉동,5**,12m미만,18.0,전세,202212,25,9000,0,2013.0,동일로182길,202302~202402,신규,-,,,단독다가구
110,서울특별시 노원구 월계동,4**,-,12.0,전세,202212,25,7500,0,2017.0,,-,-,-,,,단독다가구
111,서울특별시 노원구 월계동,4**,8m미만,12.0,전세,202212,25,7500,0,2017.0,광운로7길,202303~202503,신규,-,,,단독다가구
112,서울특별시 노원구 공릉동,4**,-,18.0,전세,202212,25,11000,0,,,-,-,-,,,단독다가구
113,서울특별시 노원구 공릉동,4**,8m미만,20.0,전세,202212,25,6500,0,2016.0,공릉로,202301~202402,신규,-,,,단독다가구
114,서울특별시 노원구 월계동,3**,-,17.0,전세,202212,24,10000,0,2017.0,,-,-,-,,,단독다가구
115,서울특별시 노원구 월계동,3**,8m미만,10.0,전세,202212,24,7300,0,2014.0,광운로15길,202301~202307,신규,-,,,단독다가구
116,서울특별시 노원구 공릉동,1**,12m미만,21.7,전세,202212,24,6500,0,2003.0,화랑로51가길,202302~202502,신규,-,,,단독다가구
117,서울특별시 노원구 공릉동,3**,8m미만,18.18,전세,202212,24,9500,0,2017.0,공릉로41길,202302~202402,신규,-,,,단독다가구
118,서울특별시 노원구 공릉동,5**,8m미만,22.0,전세,202212,24,11500,0,2017.0,동일로180길,202301~202501,신규,-,,,단독다가구
119,서울특별시 노원구 공릉동,5**,8m미만,16.0,전세,202212,24,8500,0,2012.0,동일로186길,202302~202402,신규,-,,,단독다가구
120,서울특별시 노원구 공릉동,5**,8m미만,18.0,전세,202212,24,8500,0,1984.0,동일로180길,202212~202312,신규,-,,,단독다가구
121,서울특별시 노원구 월계동,2**,12m미만,24.0,전세,202212,24,14000,0,2021.0,초안산로2길,202301~202402,신규,-,,,단독다가구
122,서울특별시 노원구 상계동,1**,8m미만,49.3,전세,202212,24,10000,0,1992.0,한글비석로24아길,202301~202501,신규,-,,,단독다가구
123,서울특별시 노원구 상계동,1**,8m미만,35.07,전세,202212,24,8400,0,1992.0,상계로23가길,202302~202502,신규,-,,,단독다가구
124,서울특별시 노원구 상계동,7*,-,40.89,전세,202212,23,7000,0,1994.0,덕릉로126나길,202301~202501,신규,-,,,단독다가구
125,서울특별시 노원구 상계동,1***,8m미만,13.0,전세,202212,23,9500,0,2017.0,동일로236길,202212~202412,신규,-,,,단독다가구
126,서울특별시 노원구 상계동,1**,-,24.43,전세,202212,23,7900,0,1994.0,,-,-,-,,,단독다가구
127,서울특별시 노원구 상계동,7*,-,40.89,전세,202212,23,7000,0,1994.0,덕릉로126나길,-,-,-,,,단독다가구
128,서울특별시 노원구 공릉동,4**,8m미만,19.8,전세,202212,23,8500,0,2009.0,동일로187길,202212~202408,신규,-,,,단독다가구
129,서울특별시 노원구 공릉동,5**,8m미만,14.0,전세,202212,23,9000,0,2014.0,동일로182길,202302~202402,신규,-,,,단독다가구
130,서울특별시 노원구 공릉동,3**,8m미만,20.0,전세,202212,23,10000,0,2016.0,동일로196길,202301~202402,신규,-,,,단독다가구
131,서울특별시 노원구 공릉동,4**,8m미만,16.0,전세,202212,23,8300,0,2015.0,공릉로41마길,202302~202402,신규,-,,,단독다가구
132,서울특별시 노원구 월계동,3**,8m미만,16.5,전세,202212,23,8500,0,2010.0,광운로19가길,202301~202401,신규,-,,,단독다가구
133,서울특별시 노원구 월계동,4**,8m미만,17.0,전세,202212,23,10000,0,2016.0,광운로2길,202302~202402,신규,-,,,단독다가구
134,서울특별시 노원구 월계동,4**,8m미만,15.0,전세,202212,22,8500,0,2003.0,석계로13길,202212~202312,신규,-,,,단독다가구
135,서울특별시 노원구 상계동,3**,8m미만,28.86,전세,202212,22,8000,0,1997.0,상계로5길,-,신규,-,,,단독다가구
136,서울특별시 노원구 상계동,1***,-,48.72,전세,202212,22,12000,0,1992.0,,-,-,-,,,단독다가구
137,서울특별시 노원구 월계동,3**,8m미만,15.0,전세,202212,22,5000,0,2016.0,광운로17길,-,-,-,,,단독다가구
138,서울특별시 노원구 월계동,5**,-,11.84,전세,202212,22,6000,0,2016.0,,-,-,-,,,단독다가구
139,서울특별시 노원구 월계동,5**,-,11.84,전세,202212,22,6000,0,2016.0,,-,-,-,,,단독다가구
140,서울특별시 노원구 공릉동,5**,8m미만,20.0,전세,202212,22,8500,0,2012.0,동일로186길,202302~202402,신규,-,,,단독다가구
141,서울특별시 노원구 공릉동,5**,8m미만,18.0,전세,202212,22,8500,0,2012.0,동일로186길,202302~202402,신규,-,,,단독다가구
142,서울특별시 노원구 공릉동,5**,8m미만,15.0,전세,202212,22,8200,0,2011.0,동일로182길,202301~202401,신규,-,,,단독다가구
143,서울특별시 노원구 공릉동,4**,8m미만,18.0,전세,202212,22,8500,0,2013.0,공릉로41마길,202302~202402,갱신,-,500,38.0,단독다가구
144,서울특별시 노원구 공릉동,4**,8m미만,20.0,전세,202212,22,9000,0,2016.0,공릉로,202302~202402,신규,-,,,단독다가구
145,서울특별시 노원구 공릉동,1**,8m미만,19.0,전세,202212,22,6000,0,2010.0,화랑로51가길,-,-,-,,,단독다가구
146,서울특별시 노원구 공릉동,2**,12m미만,20.0,전세,202212,22,9500,0,2010.0,공릉로38길,202301~202401,갱신,-,500,45.0,단독다가구
147,서울특별시 노원구 하계동,1**,8m미만,14.0,전세,202212,22,9000,0,2002.0,공릉로59나길,202212~202412,신규,-,,,단독다가구
150,서울특별시 노원구 공릉동,3**,8m미만,21.0,전세,202212,21,9000,0,2007.0,동일로192나길,202302~202402,신규,-,,,단독다가구
151,서울특별시 노원구 공릉동,3**,8m미만,16.5,전세,202212,21,9000,0,2008.0,동일로190길,202301~202401,신규,-,,,단독다가구
152,서울특별시 노원구 하계동,1**,8m미만,14.0,전세,202212,21,9000,0,2002.0,공릉로59나길,202301~202302,신규,-,,,단독다가구
153,서울특별시 노원구 하계동,1**,8m미만,19.0,전세,202212,21,9000,0,2015.0,공릉로,-,-,-,,,단독다가구
154,서울특별시 노원구 상계동,3**,8m미만,48.6,전세,202212,21,13000,0,1992.0,상계로23가길,202301~202501,신규,-,,,단독다가구
155,서울특별시 노원구 월계동,4**,-,11.71,전세,202212,21,7500,0,2016.0,,-,-,-,,,단독다가구
156,서울특별시 노원구 공릉동,2**,12m미만,17.65,전세,202212,21,9500,0,2010.0,공릉로38길,202301~202501,신규,-,,,단독다가구
157,서울특별시 노원구 공릉동,2**,12m미만,18.17,전세,202212,21,14000,0,2015.0,노원로1바길,202302~202502,신규,-,,,단독다가구
158,서울특별시 노원구 공릉동,1**,8m미만,16.5,전세,202212,21,10000,0,,화랑로51가길,202302~202402,신규,-,,,단독다가구
159,서울특별시 노원구 월계동,4**,8m미만,16.0,전세,202212,21,7500,0,2003.0,석계로13길,202302~202502,신규,-,,,단독다가구
160,서울특별시 노원구 월계동,4**,8m미만,16.0,전세,202212,21,7500,0,2003.0,석계로13길,202302~202502,신규,-,,,단독다가구
161,서울특별시 노원구 월계동,3**,-,15.0,전세,202212,21,8000,0,2016.0,,-,-,-,,,단독다가구
162,서울특별시 노원구 공릉동,5**,8m미만,18.0,전세,202212,21,7500,0,2015.0,동일로184길,202302~202402,신규,-,,,단독다가구
163,서울특별시 노원구 상계동,1**,8m미만,47.26,전세,202212,20,14000,0,1996.0,노원로32길,202301~202501,신규,-,,,단독다가구
164,서울특별시 노원구 월계동,5*,8m미만,48.6,전세,202212,20,8500,0,1991.0,석계로7길,202212~202412,신규,-,,,단독다가구
165,서울특별시 노원구 월계동,3**,8m미만,17.0,전세,202212,20,10000,0,2017.0,광운로15길,202301~202402,신규,-,,,단독다가구
166,서울특별시 노원구 공릉동,3**,12m미만,33.0,전세,202212,20,16000,0,2016.0,동일로190길,202302~202402,신규,-,,,단독다가구
167,서울특별시 노원구 공릉동,5**,8m미만,14.87,전세,202212,20,8500,0,2017.0,동일로180길,202302~202402,갱신,-,500,40.0,단독다가구
