NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,위도,경도
374,서울특별시 노원구 공릉동,2**,8m미만,37.13,전세,202211,28,15000,0,2016.0,노원로1길,-,-,-,,,단독다가구,35.8936339,128.5639168
375,서울특별시 노원구 공릉동,4**,8m미만,20.21,전세,202211,28,7300,0,2004.0,공릉로46가길,202212~202312,신규,-,,,단독다가구,37.6270439,127.0804669
377,서울특별시 노원구 하계동,6*,12m미만,18.18,전세,202211,26,8500,0,2016.0,공릉로58마길,202212~202312,신규,-,,,단독다가구,37.6368572,127.079073
378,서울특별시 노원구 상계동,1**,8m미만,46.97,전세,202211,26,15000,0,2014.0,한글비석로24마길,202301~202501,신규,-,,,단독다가구,37.6658723,127.070752
380,서울특별시 노원구 상계동,1**,12m미만,19.83,전세,202211,26,8500,0,2019.0,한글비석로23길,202211~202311,신규,-,,,단독다가구,37.6599084,127.0711803
381,서울특별시 노원구 공릉동,5**,12m미만,23.76,전세,202211,26,11000,0,2009.0,동일로176길,202211~202411,신규,-,,,단독다가구,37.6202735,127.0755948
382,서울특별시 노원구 공릉동,4**,8m미만,17.0,전세,202211,26,8500,0,2016.0,공릉로,202301~202401,신규,-,,,단독다가구,37.6268136,127.0790507
383,서울특별시 노원구 공릉동,5**,12m미만,18.0,전세,202211,26,8500,0,2012.0,동일로186길,202302~202402,신규,-,,,단독다가구,37.6251763,127.0734911
384,서울특별시 노원구 하계동,1**,12m미만,25.0,전세,202211,26,8500,0,1992.0,공릉로58길,202301~202501,신규,-,,,단독다가구,37.633224,127.0725796
385,서울특별시 노원구 중계동,1**,12m미만,23.0,전세,202211,25,11500,0,2019.0,중계로16길,202212~202412,신규,-,,,단독다가구,37.6510871,127.0812077
386,서울특별시 노원구 공릉동,4**,8m미만,15.0,전세,202211,25,11000,0,2016.0,공릉로,202301~202501,신규,-,,,단독다가구,37.6268136,127.0790507
387,서울특별시 노원구 상계동,1**,8m미만,29.96,전세,202211,25,6300,0,1996.0,한글비석로24라길,202212~202412,신규,-,,,단독다가구,37.6662137,127.0697279
389,서울특별시 노원구 공릉동,2**,12m미만,32.57,전세,202211,24,10000,0,2018.0,공릉로42길,202301~202401,신규,-,,,단독다가구,37.6250939,127.0839287
391,서울특별시 노원구 공릉동,3**,8m미만,18.0,전세,202211,24,6500,0,2013.0,동일로196길,202212~202412,신규,-,,,단독다가구,37.6282688,127.0742061
392,서울특별시 노원구 공릉동,4**,8m미만,24.0,전세,202211,24,13000,0,2017.0,공릉로43가길,202301~202501,신규,-,,,단독다가구,37.6266661,127.0778835
393,서울특별시 노원구 상계동,3**,25m미만,56.64,전세,202211,24,14000,0,1998.0,상계로,202301~202501,신규,-,,,단독다가구,37.6551019,127.0580147
394,서울특별시 노원구 상계동,3**,25m미만,56.64,전세,202211,24,14000,0,1998.0,상계로,202301~202501,신규,-,,,단독다가구,37.6551019,127.0580147
395,서울특별시 노원구 상계동,1**,8m미만,21.9,전세,202211,24,4200,0,1973.0,한글비석로24라길,-,-,-,,,단독다가구,37.6662137,127.0697279
396,서울특별시 노원구 상계동,1**,12m미만,41.45,전세,202211,23,13000,0,1995.0,한글비석로24라길,202212~202412,신규,-,,,단독다가구,37.6662137,127.0697279
397,서울특별시 노원구 공릉동,5**,8m미만,27.21,전세,202211,23,18000,0,2020.0,동일로183길,202212~202412,신규,-,,,단독다가구,37.6228891,127.07193
400,서울특별시 노원구 월계동,9**,8m미만,38.11,전세,202211,23,8000,0,2001.0,덕릉로60길,202212~202412,신규,-,,,단독다가구,37.639774,127.0399721
401,서울특별시 노원구 상계동,1***,8m미만,20.0,전세,202211,23,7500,0,2010.0,동일로,202211~202411,신규,-,,,단독다가구,37.6772348,127.0557299
402,서울특별시 노원구 상계동,1***,8m미만,21.0,전세,202211,23,9000,0,1994.0,동일로241가길,-,-,-,,,단독다가구,37.6763017,127.0538585
403,서울특별시 노원구 공릉동,3**,8m미만,25.0,전세,202211,23,15000,0,2017.0,공릉로27길,202212~202412,신규,-,,,단독다가구,37.6241359,127.0777465
405,서울특별시 노원구 상계동,4**,8m미만,48.0,전세,202211,23,8500,0,1994.0,한글비석로50길,202211~202411,갱신,-,500,40.0,단독다가구,37.6643171,127.0666903
406,서울특별시 노원구 상계동,7*,-,48.37,전세,202211,23,11000,0,1994.0,덕릉로122길,202212~202412,갱신,-,"8,000",0.0,단독다가구,37.6687138,127.0810284
408,서울특별시 노원구 공릉동,6**,25m미만,17.0,전세,202211,23,9000,0,2011.0,화랑로,202212~202412,신규,-,,,단독다가구,35.844717,129.2055617
409,서울특별시 노원구 공릉동,5**,8m미만,16.0,전세,202211,22,8000,0,2011.0,동일로180길,202302~202502,신규,-,,,단독다가구,37.622504,127.0759676
410,서울특별시 노원구 공릉동,5**,8m미만,34.32,전세,202211,22,18000,0,2020.0,동일로183길,202301~202501,신규,-,,,단독다가구,37.6228891,127.07193
411,서울특별시 노원구 상계동,1***,8m미만,33.1,전세,202211,22,12000,0,2015.0,동일로239나길,202212~202502,신규,-,,,단독다가구,37.6770879,127.0517007
412,서울특별시 노원구 공릉동,2**,12m미만,15.0,전세,202211,22,8000,0,2017.0,공릉로,202301~202501,신규,-,,,단독다가구,37.6268136,127.0790507
413,서울특별시 노원구 상계동,3**,8m미만,45.43,전세,202211,22,7500,0,1997.0,상계로9길,202212~202412,신규,-,,,단독다가구,37.6580554,127.0662992
414,서울특별시 노원구 상계동,3**,8m미만,52.07,전세,202211,22,17000,0,1991.0,한글비석로33길,202212~202412,신규,-,,,단독다가구,37.6612038,127.0696442
415,서울특별시 노원구 월계동,4**,8m미만,20.0,전세,202211,22,10000,0,2014.0,광운로,202302~202402,신규,-,,,단독다가구,37.6170606,127.0564595
417,서울특별시 노원구 중계동,1**,8m미만,34.15,전세,202211,21,5500,0,1989.0,덕릉로90길,-,-,-,,,단독다가구,37.6604963,127.0760545
418,서울특별시 노원구 상계동,1***,12m미만,50.0,전세,202211,21,14000,0,1995.0,동일로241가길,202211~202311,신규,-,,,단독다가구,37.6763017,127.0538585
419,서울특별시 노원구 상계동,1**,8m미만,24.97,전세,202211,21,5300,0,1993.0,한글비석로24사길,-,-,-,,,단독다가구,37.6640083,127.0735818
420,서울특별시 노원구 상계동,1**,8m미만,41.15,전세,202211,21,8000,0,1990.0,한글비석로44길,202212~202412,신규,-,,,단독다가구,37.6643337,127.0703581
421,서울특별시 노원구 상계동,1**,8m미만,51.03,전세,202211,21,2500,0,1993.0,한글비석로36길,-,-,-,,,단독다가구,37.6625137,127.0708272
422,서울특별시 노원구 상계동,7*,-,31.67,전세,202211,20,8000,0,1991.0,덕릉로126라길,202212~202412,신규,-,,,단독다가구,37.6708336,127.0834073
423,서울특별시 노원구 월계동,2**,8m미만,17.0,전세,202211,20,8500,0,2017.0,초안산로2길,202211~202311,신규,-,,,단독다가구,37.6338158,127.0582095
424,서울특별시 노원구 공릉동,2**,12m미만,17.0,전세,202211,20,7500,0,2016.0,공릉로38길,202301~202501,신규,-,,,단독다가구,37.6225556,127.0822701
425,서울특별시 노원구 공릉동,6**,8m미만,12.0,전세,202211,20,8000,0,2011.0,동일로173길,202212~202312,신규,-,,,단독다가구,37.6186092,127.0731408
427,서울특별시 노원구 월계동,3**,8m미만,13.2,전세,202211,19,8500,0,2010.0,광운로15길,202211~202311,신규,-,,,단독다가구,37.622117,127.0610905
430,서울특별시 노원구 월계동,2**,8m미만,39.08,전세,202211,19,7500,0,1989.0,초안산로2길,202211~202411,신규,-,,,단독다가구,37.6338158,127.0582095
431,서울특별시 노원구 공릉동,3**,8m미만,15.0,전세,202211,19,7700,0,2017.0,공릉로41길,202301~202501,신규,-,,,단독다가구,37.62463,127.0785032
434,서울특별시 노원구 공릉동,4**,8m미만,21.02,전세,202211,18,9000,0,2009.0,동일로187길,-,-,-,,,단독다가구,37.6239362,127.071918
435,서울특별시 노원구 상계동,1**,12m미만,48.81,전세,202211,18,8500,0,1991.0,한글비석로44길,202212~202412,신규,-,,,단독다가구,37.6643337,127.0703581
436,서울특별시 노원구 하계동,1**,8m미만,19.0,전세,202211,18,10000,0,2015.0,공릉로,202211~202411,신규,-,,,단독다가구,37.6268136,127.0790507
437,서울특별시 노원구 상계동,1**,8m미만,24.57,전세,202211,18,6100,0,1997.0,상계로33길,-,-,-,,,단독다가구,37.6706171,127.0774186
444,서울특별시 노원구 상계동,3**,12m미만,26.44,전세,202211,17,9500,0,1996.0,상계로3길,202211~202311,신규,-,,,단독다가구,37.657907,127.0625068
446,서울특별시 노원구 상계동,1**,8m미만,27.21,전세,202211,17,4500,0,1993.0,한글비석로24아길,-,-,-,,,단독다가구,37.6645701,127.0731691
447,서울특별시 노원구 상계동,1**,8m미만,27.21,전세,202211,17,4500,0,1993.0,한글비석로24아길,-,-,-,,,단독다가구,37.6645701,127.0731691
450,서울특별시 노원구 중계동,1**,8m미만,29.7,전세,202211,16,12000,0,2019.0,덕릉로87길,202212~202412,신규,-,,,단독다가구,,
451,서울특별시 노원구 상계동,3**,8m미만,22.5,전세,202211,16,7300,0,1992.0,상계로18길,202212~202412,신규,-,,,단독다가구,37.6568547,127.0700566
452,서울특별시 노원구 상계동,1**,12m미만,19.0,전세,202211,16,8500,0,1990.0,한글비석로36길,202212~202411,신규,-,,,단독다가구,37.6625137,127.0708272
453,서울특별시 노원구 월계동,5**,8m미만,22.8,전세,202211,16,8000,0,1991.0,월계로44가길,202212~202412,갱신,-,"7,000",0.0,단독다가구,37.6249115,127.0556507
454,서울특별시 노원구 상계동,3**,8m미만,53.37,전세,202211,16,6400,0,1992.0,한글비석로27길,-,-,-,,,단독다가구,37.6607452,127.0702202
455,서울특별시 노원구 상계동,1**,8m미만,34.4,전세,202211,15,6500,0,1991.0,한글비석로44길,-,-,-,,,단독다가구,37.6643337,127.0703581
456,서울특별시 노원구 상계동,7*,-,29.7,전세,202211,15,3100,0,,덕릉로126가길,-,-,-,,,단독다가구,37.6700253,127.0849593
457,서울특별시 노원구 상계동,7*,-,15.0,전세,202211,15,2300,0,1978.0,덕릉로124길,-,-,-,,,단독다가구,37.6692157,127.0819745
459,서울특별시 노원구 월계동,5**,25m미만,30.0,전세,202211,14,10000,0,1994.0,월계로44나길,202211~202411,신규,-,,,단독다가구,37.623725,127.0537728
461,서울특별시 노원구 상계동,1**,12m미만,43.52,전세,202211,13,13000,0,2018.0,한글비석로24라길,-,-,-,,,단독다가구,37.6662137,127.0697279
462,서울특별시 노원구 공릉동,5**,8m미만,27.46,전세,202211,13,22000,0,2022.0,동일로182길,202212~202412,신규,-,,,단독다가구,37.6240719,127.0775937
463,서울특별시 노원구 상계동,1**,12m미만,43.52,전세,202211,13,13000,0,2018.0,한글비석로24라길,202211~202411,갱신,-,"10,000",0.0,단독다가구,37.6662137,127.0697279
464,서울특별시 노원구 공릉동,5**,8m미만,50.65,전세,202211,12,15000,0,1976.0,동일로178길,202212~202412,신규,-,,,단독다가구,37.6218701,127.0756461
465,서울특별시 노원구 상계동,3**,8m미만,15.0,전세,202211,12,8500,0,2014.0,상계로21길,202211~202305,신규,-,,,단독다가구,,
466,서울특별시 노원구 상계동,1**,12m미만,49.28,전세,202211,12,11000,0,1992.0,상계로18길,202211~202411,갱신,사용,"11,000",0.0,단독다가구,37.6568547,127.0700566
467,서울특별시 노원구 상계동,1***,12m미만,28.0,전세,202211,12,9000,0,2003.0,동일로232길,202211~202411,신규,-,,,단독다가구,37.6728026,127.0571056
468,서울특별시 노원구 상계동,3**,8m미만,16.0,전세,202211,12,6300,0,2016.0,한글비석로25길,202212~202312,신규,-,,,단독다가구,37.6604082,127.0701949
472,서울특별시 노원구 상계동,1***,8m미만,40.01,전세,202211,12,5000,0,1995.0,덕릉로135길,-,-,-,,,단독다가구,37.6735747,127.08256
473,서울특별시 노원구 상계동,1**,8m미만,30.69,전세,202211,12,5900,0,1985.0,한글비석로24나길,-,-,-,,,단독다가구,37.6622875,127.072154
474,서울특별시 노원구 상계동,3**,12m미만,22.95,전세,202211,12,5500,0,1992.0,상계로23다길,-,-,-,,,단독다가구,37.6598637,127.068486
477,서울특별시 노원구 상계동,1**,8m미만,42.07,전세,202211,11,7000,0,1997.0,한글비석로,-,갱신,-,"5,900",0.0,단독다가구,37.6661065,127.06948626989912
479,서울특별시 노원구 공릉동,3**,8m미만,36.0,전세,202211,10,7700,0,1994.0,동일로190길,202211~202411,갱신,-,700,35.0,단독다가구,37.6256192,127.074575
480,서울특별시 노원구 상계동,4**,8m미만,47.0,전세,202211,10,9000,0,1995.0,한글비석로49길,-,-,-,,,단독다가구,37.6614783,127.0662763
481,서울특별시 노원구 상계동,4*,-,49.95,전세,202211,10,12000,0,1991.0,덕릉로126길,202211~202411,갱신,사용,"12,600",0.0,단독다가구,37.6709047,127.0824808
482,서울특별시 노원구 하계동,1**,12m미만,18.0,전세,202211,10,9500,0,2010.0,공릉로58길,202211~202411,신규,-,,,단독다가구,37.633224,127.0725796
484,서울특별시 노원구 공릉동,5**,12m미만,39.03,전세,202211,9,14300,0,2013.0,동일로178길,202212~202412,갱신,사용,"13,650",0.0,단독다가구,37.6218701,127.0756461
485,서울특별시 노원구 공릉동,3**,8m미만,20.0,전세,202211,9,9500,0,2017.0,동일로190길,202211~202311,신규,-,,,단독다가구,37.6256192,127.074575
486,서울특별시 노원구 상계동,3**,12m미만,15.0,전세,202211,9,6300,0,2016.0,상계로17길,202211~202311,신규,-,,,단독다가구,37.6594505,127.0668279
487,서울특별시 노원구 월계동,3**,8m미만,33.0,전세,202211,9,8000,0,1992.0,광운로15길,202211~202411,신규,-,,,단독다가구,37.6217329,127.0584442
488,서울특별시 노원구 하계동,1**,8m미만,25.0,전세,202211,8,9000,0,2011.0,공릉로,202211~202411,신규,-,,,단독다가구,37.6393895,127.0693259
489,서울특별시 노원구 상계동,3**,8m미만,49.32,전세,202211,8,8500,0,1993.0,한글비석로29길,202211~202411,신규,-,,,단독다가구,37.6601966,127.0692006
490,서울특별시 노원구 상계동,1***,8m미만,40.0,전세,202211,8,8500,0,1995.0,동일로237다길,202301~202501,신규,-,,,단독다가구,37.6762029,127.0523966
491,서울특별시 노원구 상계동,7*,-,47.25,전세,202211,8,7000,0,1991.0,덕릉로134가길,-,-,-,,,단독다가구,37.6725369,127.0848282
493,서울특별시 노원구 상계동,1***,8m미만,20.0,전세,202211,8,9000,0,2010.0,동일로,202212~202412,신규,-,,,단독다가구,37.5620971,127.0751968
494,서울특별시 노원구 공릉동,5**,8m미만,17.0,전세,202211,7,8000,0,2017.0,동일로186길,202211~202411,신규,-,,,단독다가구,37.6253484,127.075036
495,서울특별시 노원구 상계동,1***,8m미만,29.74,전세,202211,7,12000,0,,동일로230나길,202301~202501,신규,-,,,단독다가구,,
497,서울특별시 노원구 상계동,3**,12m미만,33.05,전세,202211,7,8500,0,1991.0,상계로23다길,202211~202411,신규,-,,,단독다가구,37.6600077,127.0705318
498,서울특별시 노원구 상계동,1**,8m미만,48.99,전세,202211,6,11500,0,1995.0,한글비석로24자길,202211~202411,갱신,-,"5,500",0.0,단독다가구,37.6645189,127.0742086
499,서울특별시 노원구 공릉동,5**,8m미만,18.0,전세,202211,5,8500,0,2012.0,동일로186길,202212~202312,신규,-,,,단독다가구,37.6253484,127.075036
500,서울특별시 노원구 상계동,1***,12m미만,38.55,전세,202211,5,16000,0,2017.0,동일로237바길,202211~202411,신규,-,,,단독다가구,37.6739881,127.050163
501,서울특별시 노원구 상계동,1**,12m미만,43.13,전세,202211,5,10500,0,1993.0,한글비석로24바길,202211~202411,갱신,-,"1,500",40.0,단독다가구,37.6662286,127.06998
502,서울특별시 노원구 상계동,1**,12m미만,23.0,전세,202211,5,6300,0,1971.0,한글비석로24길,202211~202411,신규,-,,,단독다가구,37.6621861,127.0720361
503,서울특별시 노원구 상계동,1**,12m미만,19.5,전세,202211,5,6100,0,2014.0,한글비석로24나길,-,-,-,,,단독다가구,37.6625808,127.0715126
504,서울특별시 노원구 공릉동,4**,8m미만,30.0,전세,202211,5,13000,0,1993.0,동일로187길,202211~202411,신규,-,,,단독다가구,37.6248275,127.0724857
505,서울특별시 노원구 공릉동,4**,12m미만,22.0,전세,202211,5,7000,0,2007.0,공릉로42길,-,-,-,,,단독다가구,37.6250939,127.0839287
506,서울특별시 노원구 상계동,1**,8m미만,18.84,전세,202211,4,9500,0,2017.0,노원로26나길,202211~202311,신규,-,,,단독다가구,37.6542597,127.0694906
507,서울특별시 노원구 상계동,1**,8m미만,44.03,전세,202211,4,10000,0,1994.0,한글비석로24나길,202212~202412,신규,-,,,단독다가구,37.6625808,127.0715126
508,서울특별시 노원구 상계동,3**,8m미만,18.0,전세,202211,4,8300,0,2016.0,한글비석로25길,202211~202411,신규,-,,,단독다가구,37.660592,127.0704148
509,서울특별시 노원구 상계동,1**,8m미만,46.0,전세,202211,4,6000,0,1991.0,한글비석로24라길,-,-,-,,,단독다가구,37.6662137,127.0697279
511,서울특별시 노원구 상계동,3**,8m미만,49.29,전세,202211,4,15000,0,1982.0,상계로23길,202211~202411,신규,-,,,단독다가구,37.6604728,127.0672426
514,서울특별시 노원구 월계동,3**,8m미만,19.0,전세,202211,3,7300,0,1995.0,광운로19가길,202211~202411,신규,-,,,단독다가구,37.6247424,127.0592915
515,서울특별시 노원구 공릉동,2**,8m미만,49.0,전세,202211,3,6000,0,2017.0,노원로1길,202211~202411,신규,-,,,단독다가구,35.89894,128.5729715
516,서울특별시 노원구 상계동,1**,8m미만,17.0,전세,202211,3,9500,0,2017.0,수락산로,202211~202411,신규,-,,,단독다가구,37.6705137,127.0588689
517,서울특별시 노원구 공릉동,5**,12m미만,23.0,전세,202211,3,11000,0,2003.0,동일로176길,202212~202412,신규,-,,,단독다가구,37.6202735,127.0755948
518,서울특별시 노원구 상계동,3**,12m미만,16.0,전세,202211,3,9500,0,2017.0,상계로11길,202211~202311,신규,-,,,단독다가구,37.6581443,127.0673691
519,서울특별시 노원구 상계동,1**,8m미만,37.54,전세,202211,3,3000,0,1995.0,한글비석로24다길,-,-,-,,,단독다가구,37.6626902,127.0722028
520,서울특별시 노원구 상계동,7*,-,38.07,전세,202211,3,6700,0,1995.0,덕릉로124길,202211~202411,신규,-,,,단독다가구,37.6689928,127.0817546
521,서울특별시 노원구 상계동,1***,8m미만,50.0,전세,202211,3,12000,0,2002.0,동일로242마길,-,-,-,,,단독다가구,37.6740586,127.0595922
522,서울특별시 노원구 상계동,1**,8m미만,46.68,전세,202211,3,14500,0,1969.0,한글비석로44길,202211~202411,신규,-,,,단독다가구,37.6644543,127.0716957
525,서울특별시 노원구 공릉동,5**,8m미만,18.0,전세,202211,2,7500,0,2011.0,동일로186길,202211~202312,신규,-,,,단독다가구,37.6253484,127.075036
526,서울특별시 노원구 공릉동,6**,25m미만,31.27,전세,202211,2,11000,0,1977.0,공릉로,202212~202312,신규,-,,,단독다가구,37.6393895,127.0693259
527,서울특별시 노원구 공릉동,6**,8m미만,40.0,전세,202211,2,12000,0,2003.0,화랑로,202211~202411,신규,-,,,단독다가구,35.8444927,129.212663
528,서울특별시 노원구 공릉동,3**,8m미만,33.0,전세,202211,2,13000,0,1992.0,동일로191길,202212~202412,신규,-,,,단독다가구,37.6249634,127.0715778
529,서울특별시 노원구 상계동,1***,8m미만,57.76,전세,202211,2,16000,0,2004.0,동일로242길,202211~202411,갱신,-,"16,000",0.0,단독다가구,37.6750178,127.0581354
530,서울특별시 노원구 상계동,1***,8m미만,20.0,전세,202211,2,5000,0,2010.0,동일로237길,-,-,-,,,단독다가구,37.6733643,127.0514676
531,서울특별시 노원구 상계동,1**,8m미만,16.5,전세,202211,2,7300,0,2011.0,노원로26나길,202211~202411,신규,-,,,단독다가구,37.6542597,127.0694906
532,서울특별시 노원구 상계동,3**,12m미만,51.46,전세,202211,2,10000,0,1995.0,상계로23길,202212~202412,신규,-,,,단독다가구,37.6604728,127.0672426
533,서울특별시 노원구 상계동,4*,-,13.42,전세,202211,2,5500,0,1978.0,덕릉로126다길,-,-,-,,,단독다가구,37.6717073,127.0836338
536,서울특별시 노원구 공릉동,5**,8m미만,50.0,전세,202211,1,20000,0,2022.0,동일로182길,202211~202311,신규,-,,,단독다가구,37.6238518,127.0760651
538,서울특별시 노원구 공릉동,6**,8m미만,40.0,전세,202211,1,9000,0,2013.0,동일로173길,202211~202411,신규,-,,,단독다가구,37.6186092,127.0731408
539,서울특별시 노원구 공릉동,3**,8m미만,20.0,전세,202211,1,8500,0,2017.0,동일로190길,202212~202312,신규,-,,,단독다가구,37.6266931,127.0757284
540,서울특별시 노원구 공릉동,3**,8m미만,18.0,전세,202211,1,8000,0,2007.0,동일로192나길,202211~202312,신규,-,,,단독다가구,37.6274653,127.0752641
541,서울특별시 노원구 공릉동,5**,8m미만,25.0,전세,202211,1,6500,0,1993.0,동일로183길,-,-,-,,,단독다가구,37.6239609,127.0727706
542,서울특별시 노원구 공릉동,3**,8m미만,33.0,전세,202211,1,13000,0,1991.0,공릉로41길,202212~202412,신규,-,,,단독다가구,37.62463,127.0785032
543,서울특별시 노원구 상계동,7*,-,39.0,전세,202211,1,6500,0,,덕릉로126나길,-,-,-,,,단독다가구,37.6706319,127.0842814
544,서울특별시 노원구 상계동,3**,8m미만,19.8,전세,202211,1,8500,0,2017.0,한글비석로35길,202211~202411,신규,-,,,단독다가구,37.6613459,127.0694694
547,서울특별시 노원구 상계동,4**,8m미만,41.5,전세,202211,1,13000,0,1995.0,한글비석로49길,202211~202311,신규,-,,,단독다가구,37.6615564,127.0656972
548,서울특별시 노원구 공릉동,2**,12m미만,18.1,전세,202211,1,10000,0,2015.0,노원로1바길,202212~202412,신규,-,,,단독다가구,37.6210707,127.0806902
549,서울특별시 노원구 상계동,1***,8m미만,32.94,전세,202210,31,12000,0,1984.0,동일로237가길,202211~202411,신규,-,,,단독다가구,37.6742304,127.05439
550,서울특별시 노원구 상계동,*,-,40.0,전세,202210,31,3050,0,,덕릉로141가길,-,-,-,,,단독다가구,37.6748319,127.0847256
551,서울특별시 노원구 상계동,1**,8m미만,51.55,전세,202210,31,8400,0,1992.0,한글비석로24아길,202211~202411,갱신,사용,"8,000",0.0,단독다가구,37.6643109,127.0739495
552,서울특별시 노원구 공릉동,3**,8m미만,20.0,전세,202210,31,7300,0,1978.0,동일로190길,202211~202311,신규,-,,,단독다가구,37.6266931,127.0757284
553,서울특별시 노원구 공릉동,2**,12m미만,42.1,전세,202210,31,14000,0,1961.0,공릉로42길,202211~202411,신규,-,,,단독다가구,37.6250939,127.0839287
555,서울특별시 노원구 공릉동,5**,8m미만,40.0,전세,202210,30,15000,0,,동일로182길,202211~202311,신규,-,,,단독다가구,37.6238518,127.0760651
558,서울특별시 노원구 공릉동,5**,12m미만,15.6,전세,202210,29,5000,0,2007.0,동일로176길,-,-,-,,,단독다가구,37.6202735,127.0755948
559,서울특별시 노원구 월계동,2**,8m미만,27.0,전세,202210,29,7500,0,1996.0,초안산로2길,202210~202310,신규,-,,,단독다가구,37.6338158,127.0582095
560,서울특별시 노원구 공릉동,4**,8m미만,50.6,전세,202210,29,11500,0,2002.0,공릉로41라길,202211~202411,신규,-,,,단독다가구,37.6252785,127.0781803
561,서울특별시 노원구 상계동,3**,8m미만,24.0,전세,202210,29,8500,0,2017.0,한글비석로35길,202210~202410,신규,-,,,단독다가구,37.6613459,127.0694694
562,서울특별시 노원구 상계동,1***,8m미만,36.54,전세,202210,28,11000,0,,동일로230나길,202211~202411,신규,-,,,단독다가구,,
563,서울특별시 노원구 상계동,3**,8m미만,33.05,전세,202210,28,8500,0,1991.0,한글비석로27길,202210~202410,신규,-,,,단독다가구,37.6607452,127.0702202
564,서울특별시 노원구 상계동,3**,8m미만,16.0,전세,202210,27,8300,0,2013.0,상계로13길,202211~202310,신규,-,,,단독다가구,,
565,서울특별시 노원구 상계동,1***,8m미만,49.5,전세,202210,27,11500,0,2017.0,동일로236길,-,갱신,사용,"1,000",50.0,단독다가구,37.6739322,127.0576002
566,서울특별시 노원구 상계동,7*,-,34.86,전세,202210,27,7000,0,,덕릉로126가길,-,-,-,,,단독다가구,37.6699015,127.0847116
567,서울특별시 노원구 상계동,1***,8m미만,33.06,전세,202210,27,10000,0,1993.0,동일로237길,202210~202410,신규,-,,,단독다가구,37.6733643,127.0514676
568,서울특별시 노원구 상계동,3**,12m미만,24.0,전세,202210,27,8500,0,2014.0,상계로17길,202210~202310,신규,-,,,단독다가구,37.6583455,127.068244
569,서울특별시 노원구 상계동,1***,8m미만,49.5,전세,202210,27,11500,0,2017.0,동일로236길,-,-,-,,,단독다가구,37.6739322,127.0576002
571,서울특별시 노원구 중계동,4**,12m미만,59.42,전세,202210,27,25000,0,2020.0,한글비석로15길,202212~202412,신규,-,,,단독다가구,37.6548902,127.073337
572,서울특별시 노원구 공릉동,2**,8m미만,18.0,전세,202210,26,8500,0,2016.0,노원로1라길,202211~202311,신규,-,,,단독다가구,37.6211139,127.0817094
573,서울특별시 노원구 월계동,7*,8m미만,16.0,전세,202210,26,9400,0,2015.0,석계로9길,202210~202310,신규,-,,,단독다가구,37.6161584,127.0617718
574,서울특별시 노원구 중계동,1**,8m미만,24.68,전세,202210,26,8000,0,1991.0,덕릉로,202211~202411,신규,-,,,단독다가구,37.6454361,127.0491039
575,서울특별시 노원구 중계동,4**,12m미만,30.0,전세,202210,25,9300,0,2020.0,한글비석로15길,202210~202410,신규,-,,,단독다가구,37.6548902,127.073337
576,서울특별시 노원구 상계동,1**,8m미만,15.7,전세,202210,25,8500,0,2016.0,한글비석로36길,202210~202410,신규,-,,,단독다가구,37.6644702,127.0733087
577,서울특별시 노원구 상계동,1***,12m미만,13.22,전세,202210,25,8000,0,2008.0,동일로237가길,202212~202412,신규,-,,,단독다가구,37.6742304,127.05439
579,서울특별시 노원구 상계동,1**,8m미만,32.91,전세,202210,24,12000,0,1993.0,한글비석로24자길,-,-,-,,,단독다가구,37.6645189,127.0742086
580,서울특별시 노원구 상계동,1***,12m미만,19.83,전세,202210,24,8500,0,2008.0,동일로237가길,202211~202411,신규,-,,,단독다가구,37.6742304,127.05439
582,서울특별시 노원구 상계동,1**,8m미만,32.91,전세,202210,24,12000,0,1993.0,한글비석로24자길,202211~202411,신규,-,,,단독다가구,37.6645189,127.0742086
583,서울특별시 노원구 상계동,1**,8m미만,51.74,전세,202210,24,12000,0,1992.0,한글비석로24자길,202212~202412,신규,-,,,단독다가구,37.6645189,127.0742086
584,서울특별시 노원구 상계동,1***,8m미만,30.62,전세,202210,24,8000,0,1996.0,동일로241다길,202212~202412,신규,-,,,단독다가구,37.6775132,127.0520055
585,서울특별시 노원구 상계동,1**,8m미만,16.5,전세,202210,24,6300,0,2011.0,한글비석로24가길,-,-,-,,,단독다가구,37.6629145,127.0703288
586,서울특별시 노원구 상계동,1**,8m미만,36.67,전세,202210,23,5300,0,2003.0,덕릉로109길,-,-,-,,,단독다가구,37.6659101,127.0772855
587,서울특별시 노원구 상계동,7*,-,48.0,전세,202210,22,7500,0,1991.0,덕릉로134가길,-,-,-,,,단독다가구,37.6725369,127.0848282
589,서울특별시 노원구 공릉동,5**,8m미만,42.0,전세,202210,22,12000,0,1994.0,동일로184길,202211~202411,신규,-,,,단독다가구,37.6243513,127.0758936
592,서울특별시 노원구 상계동,3**,8m미만,45.0,전세,202210,21,5500,0,1990.0,상계로9가길,-,-,-,,,단독다가구,37.6590086,127.0673962
593,서울특별시 노원구 공릉동,2**,12m미만,12.6,전세,202210,21,7500,0,2016.0,공릉로38길,-,-,-,,,단독다가구,37.6231751,127.0801541
