NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
2309,서울특별시 송파구 문정동,624,624,0,송파 아이파크,월세,29.83,202404,18,"1,000",95,9,2015,법원로 55,202405~202505,갱신,-,"1,000",90
2310,서울특별시 송파구 문정동,652,652,0,송파법조타운푸르지오시티,월세,20.45,202404,18,"1,000",89,13,2018,법원로4길 5,202404~202504,신규,-,,
2311,서울특별시 송파구 문정동,652-1,652,1,프라비다옥토,월세,21.01,202404,18,"1,000",90,10,2016,법원로4길 17,202405~202505,신규,-,,
2312,서울특별시 송파구 문정동,652,652,0,송파법조타운푸르지오시티,월세,20.45,202404,18,"1,000",89,13,2018,법원로4길 5,202404~202504,신규,-,,
2313,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,24.95,202404,18,"14,000",40,14,, ,-,-,-,,
2314,서울특별시 송파구 방이동,02월 28일,28,2,엘루이시티,전세,17.45,202404,18,"17,900",0,6,2019, ,202405~202605,신규,-,,
2315,서울특별시 송파구 잠실동,178-6,178,6,잠실 M타워,월세,17.17,202404,18,500,70,7,2018,올림픽로8길 7,202406~202505,신규,-,,
2316,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,48.96,202404,18,"5,000",165,16,, ,202405~202505,신규,-,,
2317,서울특별시 송파구 문정동,618,618,0,파크하비오,전세,48.93,202404,18,"42,000",0,15,, ,202405~202505,신규,-,,
2318,서울특별시 송파구 문정동,618,618,0,파크하비오,전세,23.76,202404,18,"20,000",0,16,, ,202404~202604,갱신,-,"22,000",0
2319,서울특별시 송파구 방이동,47,47,0,잠실헤리츠,월세,16.43,202404,18,"1,000",68,3,2017, ,202406~202506,갱신,-,"1,000",65
2320,서울특별시 송파구 방이동,47,47,0,잠실헤리츠,월세,16.43,202404,18,"14,760",10,7,2017, ,202405~202605,신규,-,,
2321,서울특별시 송파구 신천동,29,29,0,롯데월드타워앤드롯데월드몰,전세,251.09,202404,18,"540,000",0,64,2017,올림픽로 300,202406~202606,신규,-,,
2322,서울특별시 송파구 잠실동,194,194,0,잠실아이파크,월세,24.42,202404,17,"8,000",60,6,2013,올림픽로8길 20,202405~202505,신규,-,,
2323,서울특별시 송파구 문정동,652-5,652,5,문정 아이파크,월세,21.57,202404,17,"3,000",80,8,2017,법원로4길 6,202405~202505,갱신,-,"3,000",77
2324,서울특별시 송파구 방이동,43,43,0,대명벨리온,월세,17.12,202404,17,"1,000",80,14,2017, ,202405~202505,갱신,-,"1,000",77
2325,서울특별시 송파구 방이동,43,43,0,대명벨리온,전세,17.12,202404,17,"17,100",0,9,2017, ,202405~202605,신규,-,,
2326,서울특별시 송파구 방이동,Mar-48,48,3,더원센트럴,월세,36.26,202404,17,"2,000",125,4,2020,위례성대로2길 13,202405~202505,신규,-,,
2327,서울특별시 송파구 방이동,Aug-41,41,8,잠실 벨솔레 오피스텔,전세,29.69,202404,17,"30,000",0,10,2020,올림픽로34길 5-13,202406~202606,갱신,-,"30,000",0
2328,서울특별시 송파구 방이동,Feb-46,46,2,사보이시티잠실,월세,23.73,202404,17,"1,000",110,3,2021,오금로11길 45,202405~202505,갱신,-,"1,000",99
2329,서울특별시 송파구 방이동,Feb-46,46,2,사보이시티잠실,월세,29.18,202404,17,"1,000",143,8,2021,오금로11길 45,202404~202504,갱신,사용,"1,000",140
2330,서울특별시 송파구 잠실동,176,176,0,잠실 포레디움,전세,16.53,202404,17,"16,500",0,3,2019,올림픽로8길 4-11,202405~202605,신규,-,,
2331,서울특별시 송파구 문정동,652-2,652,2,문정 오벨리스크,전세,23.98,202404,17,"21,900",0,10,2018,송파대로 145,202405~202605,신규,-,,
2332,서울특별시 송파구 문정동,652-2,652,2,문정 오벨리스크,월세,24.27,202404,17,"1,000",85,11,2018,송파대로 145,202405~202505,갱신,-,"1,000",77
2333,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,월세,29.99,202404,17,"1,000",87,12,2013,충민로 5,202406~202506,신규,-,,
2334,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,월세,29.96,202404,17,"10,000",63,12,2013,충민로 5,202405~202505,갱신,-,"10,000",58
2335,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,월세,29.96,202404,17,"1,000",100,6,2013,충민로 5,202404~202504,신규,-,,
2336,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,전세,29.99,202404,17,"22,050",0,13,2013,충민로 5,202404~202604,갱신,-,"23,100",0
2337,서울특별시 송파구 문정동,620,620,0,송파푸르지오시티,월세,24.75,202404,17,"1,000",95,13,2013,새말로 62,202404~202504,신규,-,,
2338,서울특별시 송파구 문정동,652-4,652,4,힐스테이트에코문정,월세,20.79,202404,17,"17,640",10,8,2018,법원로4길 10,202404~202604,갱신,-,"17,640",0
2339,서울특별시 송파구 송파동,58-15,58,15,트윈레이크팰리스빌,전세,37.07,202404,17,"31,000",0,9,2018,백제고분로45길 40,202406~202606,신규,-,,
2340,서울특별시 송파구 문정동,652-5,652,5,문정 아이파크,월세,21.57,202404,17,"1,000",85,14,2017,법원로4길 6,202404~202411,갱신,-,"1,000",75
2341,서울특별시 송파구 문정동,652-5,652,5,문정 아이파크,월세,25.77,202404,17,"21,150",15,4,2017,법원로4길 6,202406~202606,신규,-,,
2342,서울특별시 송파구 문정동,618,618,0,파크하비오,전세,48.93,202404,17,"41,000",0,11,, ,202405~202605,신규,-,,
2343,서울특별시 송파구 잠실동,183-4,183,4,쌍용 더 플래티넘 잠실,월세,27.27,202404,17,"5,000",100,6,2022,백제고분로7길 49,202405~202505,신규,-,,
